{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'HalfCheetah-v2-resulttest',
    'save_periodic': False,
    'seed': 7,
    'state_dim': 17,
    'tau': 0.001,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 170.00  Test_Score: 226.09  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -231.98  PG Loss: -4.2795

#Games: 22 #Frames: 22000  Train_Max: 254.34  Test_Score: 244.61  Avg: 226.09  ENV:  HalfCheetah-v2  DDPG Reward: -369.16  PG Loss: -11.3200

#Games: 33 #Frames: 33000  Train_Max: 590.40  Test_Score: 622.41  Avg: 235.35  ENV:  HalfCheetah-v2  DDPG Reward: 1596.72  PG Loss: -19.0981

#Games: 44 #Frames: 44000  Train_Max: 725.98  Test_Score: 704.61  Avg: 364.37  ENV:  HalfCheetah-v2  DDPG Reward: 1411.38  PG Loss: -27.3691

#Games: 55 #Frames: 55000  Train_Max: 756.74  Test_Score: 772.09  Avg: 449.43  ENV:  HalfCheetah-v2  DDPG Reward: 2015.14  PG Loss: -38.7459

#Games: 66 #Frames: 66000  Train_Max: 773.60  Test_Score: 756.73  Avg: 513.96  ENV:  HalfCheetah-v2  DDPG Reward: 2296.10  PG Loss: -51.3169

#Games: 77 #Frames: 77000  Train_Max: 858.85  Test_Score: 934.95  Avg: 554.42  ENV:  HalfCheetah-v2  DDPG Reward: 2837.49  PG Loss: -65.2172

#Games: 88 #Frames: 88000  Train_Max: 1309.75  Test_Score: 1440.39  Avg: 608.79  ENV:  HalfCheetah-v2  DDPG Reward: 2957.90  PG Loss: -80.6019

#Games: 99 #Frames: 99000  Train_Max: 1593.74  Test_Score: 1506.04  Avg: 712.74  ENV:  HalfCheetah-v2  DDPG Reward: 2411.80  PG Loss: -97.2646

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1484.63  Test_Score: 1475.78  Avg: 800.88  ENV:  HalfCheetah-v2  DDPG Reward: 3197.80  PG Loss: -114.3144

#Games: 121 #Frames: 121000  Train_Max: 3124.59  Test_Score: 3245.54  Avg: 868.37  ENV:  HalfCheetah-v2  DDPG Reward: 3515.34  PG Loss: -133.2235

#Games: 132 #Frames: 132000  Train_Max: 3256.17  Test_Score: 3175.82  Avg: 1170.32  ENV:  HalfCheetah-v2  DDPG Reward: 3837.73  PG Loss: -152.1569

#Games: 143 #Frames: 143000  Train_Max: 3190.34  Test_Score: 3206.99  Avg: 1463.44  ENV:  HalfCheetah-v2  DDPG Reward: 4008.54  PG Loss: -171.5066

#Games: 154 #Frames: 154000  Train_Max: 3444.50  Test_Score: 3439.55  Avg: 1721.90  ENV:  HalfCheetah-v2  DDPG Reward: 4160.91  PG Loss: -192.1476

